length	gccontent
A1BG	1872	0.647435897435897
A2M	5867	0.468041588546105
A2ML1	5524	0.490586531498914
A4GALT	2943	0.611620795107034
AAAS	1836	0.57244008714597
AACS	3596	0.557285873192436
AACSP1	3394	0.520329994107248
AAED1	3098	0.454486765655261
AAGAB	2841	0.444561774023231
AAK1	6687	0.496186630776133
AAMDC	645	0.511627906976744
AAMP	3136	0.594706632653061
AANAT	2071	0.587155963302752
AAR2	3101	0.542083198968075
AARD	2412	0.482172470978441
AARS	3420	0.535087719298246
AARS2	4063	0.586758552793502
AASDH	4643	0.382726685332759
AASDHPPT	2687	0.358020096762188
AASS	4591	0.420605532563712
AATF	2140	0.533644859813084
AATK	5221	0.679754836238268
AATK-AS1	1577	0.637920101458465
AB019441.29	627	0.534290271132376
ABAT	5952	0.506384408602151
ABC7-42389800N19.1	1934	0.607549120992761
ABCA1	11350	0.453039647577093
ABCA10	7852	0.384615384615385
ABCA11P	763	0.36959370904325
ABCA12	9430	0.422693531283139
ABCA13	18580	0.410925726587729
ABCA17P	2835	0.465961199294533
ABCA2	11515	0.647850629613548
ABCA3	6636	0.604430379746835
ABCA4	8199	0.524332235638493
ABCA5	9052	0.351855943437914
ABCA6	5394	0.383574341861327
ABCA7	6900	0.645797101449275
ABCA8	5838	0.409558067831449
ABCA9	8792	0.402979981801638
ABCB1	5552	0.420749279538905
ABCB10	4256	0.446193609022556
ABCB11	5632	0.449041193181818
ABCB4	7494	0.425406992260475
ABCB5	12378	0.388592664404589
ABCB6	2368	0.509290540540541
ABCB8	9132	0.587275514673675
ABCB9	3843	0.621909966172261
ABCC1	6594	0.549438883833788
ABCC10	8019	0.574385833645093
ABCC11	4990	0.513827655310621
ABCC12	5202	0.495578623606305
ABCC2	6232	0.452021822849807
ABCC3	8084	0.561974270163285
ABCC4	7804	0.416709379805228
ABCC5	11441	0.479503539900358
ABCC6	5127	0.595669982445875
ABCC8	4981	0.581208592652078
ABCC9	9728	0.384354440789474
ABCD2	5328	0.36204954954955
ABCD3	7669	0.381275264050072
ABCD4	7489	0.51902790759781
ABCE1	5865	0.353452685421995
ABCF2	4448	0.533273381294964
ABCF2P1	1867	0.497589716122121
ABCF3	5207	0.527367005953524
ABCG1	6184	0.550452781371281
ABCG2	4848	0.418316831683168
ABCG4	4034	0.598413485374318
ABCG8	2665	0.556848030018762
ABHD1	1629	0.566605279312462
ABHD10	3021	0.3733862959285
ABHD11	1969	0.601320467242255
ABHD12	3142	0.591979630808402
ABHD13	5338	0.34095166729112
ABHD14A-ACY1	1857	0.552504038772213
ABHD14B	2647	0.5927465054779
ABHD15	3353	0.566358484938861
ABHD16B	1491	0.698859825620389
ABHD17A	1715	0.693294460641399
ABHD17AP3	1137	0.657871591908531
ABHD17AP5	900	0.667777777777778
ABHD17AP6	710	0.669014084507042
ABHD17B	2959	0.396079756674552
ABHD17C	2356	0.49830220713073
ABHD2	9078	0.476756994932805
ABHD3	2064	0.421027131782946
ABHD4	3446	0.526407428903076
ABHD5	3002	0.466355762824783
ABHD6	2839	0.541740049313138
ABHD8	2089	0.664911440880804
ABI1	3973	0.381072237603826
ABI2	7927	0.42903998990791
ABI3	1978	0.616784630940344
ABI3BP	10518	0.40635101730367
ABL1	6284	0.58386378103119
ABL2	9361	0.47601751949578
ABLIM1	9845	0.465515490096496
ABLIM2	6040	0.561920529801324
ABLIM3	7128	0.534090909090909
ABO	1579	0.590246991766941
ABR	5403	0.575421062372756
ABRACL	1200	0.4075
ABT1	2255	0.494456762749446
ABT1P1	347	0.556195965417867
ABTB1	6149	0.61587249959343
ABTB2	4928	0.607954545454545
AC000036.4	2030	0.464532019704433
AC000068.5	1592	0.496231155778894
AC000078.5	682	0.57624633431085
AC000110.1	584	0.412671232876712
AC000120.7	1160	0.437931034482759
AC000123.4	516	0.364341085271318
AC002056.3	760	0.472368421052632
AC002069.5	1489	0.433176628609805
AC002075.3	676	0.46301775147929
AC002075.4	447	0.463087248322148
AC002117.1	126	0.412698412698413
AC002310.12	1124	0.461743772241993
AC002310.7	417	0.503597122302158
AC002398.9	500	0.594
AC002454.1	586	0.443686006825939
AC002456.2	616	0.443181818181818
AC002465.2	349	0.484240687679083
AC002467.7	174	0.660919540229885
AC002472.13	5542	0.514615662215807
AC002480.2	2592	0.430941358024691
AC002480.3	1517	0.456163480553724
AC002480.5	367	0.49591280653951
AC002486.2	590	0.405084745762712
AC002543.2	1375	0.380363636363636
AC003075.4	1337	0.396409872849663
AC003080.4	767	0.48761408083442
AC003088.1	495	0.472727272727273
AC003092.1	1064	0.402255639097744
AC003092.2	446	0.381165919282511
AC003665.1	1787	0.449356463346391
AC004014.4	999	0.458458458458458
AC004019.10	1132	0.565371024734982
AC004041.2	838	0.5
AC004069.1	1113	0.415992812219227
AC004069.2	549	0.377049180327869
AC004237.1	502	0.426294820717131
AC004381.6	2792	0.476361031518625
AC004453.8	408	0.504901960784314
AC004461.4	694	0.573487031700288
AC004471.9	582	0.642611683848797
AC004540.5	1999	0.535767883941971
AC004549.6	684	0.497076023391813
AC004771.1	607	0.734761120263591
AC004797.1	654	0.422018348623853
AC004832.1	701	0.572039942938659
AC004840.9	2067	0.576197387518142
AC004851.1	78	0.653846153846154
AC004854.4	362	0.49171270718232
AC004866.3	481	0.494802494802495
AC004893.10	1393	0.493898061737258
AC004893.11	2392	0.562290969899666
AC004895.4	820	0.554878048780488
AC004938.5	308	0.461038961038961
AC004941.3	3120	0.451602564102564
AC004941.5	228	0.442982456140351
AC004951.5	342	0.62280701754386
AC004967.7	203	0.339901477832512
AC004980.7	2157	0.518312471024571
AC004987.9	925	0.575135135135135
AC005007.3	478	0.47907949790795
AC005014.5	2976	0.578629032258065
AC005017.2	490	0.475510204081633
AC005019.2	455	0.432967032967033
AC005034.3	340	0.482352941176471
AC005037.1	1222	0.598199672667758
AC005037.3	112	0.6875
AC005037.4	501	0.439121756487026
AC005042.2	800	0.5075
AC005042.5	510	0.533333333333333
AC005062.2	2269	0.403261348611723
AC005076.5	737	0.454545454545455
AC005077.14	3495	0.683261802575107
AC005077.7	631	0.502377179080824
AC005082.12	1999	0.461730865432716
AC005083.1	901	0.427302996670366
AC005102.1	479	0.569937369519833
AC005104.3	376	0.438829787234043
AC005152.3	381	0.388451443569554
AC005154.6	4908	0.449062754686227
AC005154.7	1273	0.504320502749411
AC005154.8	379	0.435356200527704
AC005178.1	440	0.361363636363636
AC005220.3	334	0.520958083832335
AC005224.2	1537	0.430058555627846
AC005229.7	409	0.577017114914425
AC005235.1	2966	0.421105866486851
AC005280.1	1923	0.625585023400936
AC005300.5	373	0.493297587131367
AC005304.1	405	0.444444444444444
AC005329.7	1951	0.611993849308047
AC005351.1	786	0.417302798982188
AC005355.1	714	0.565826330532213
AC005481.5	3456	0.541377314814815
AC005487.2	665	0.439097744360902
AC005534.8	576	0.378472222222222
AC005539.2	1479	0.400946585530764
AC005540.3	275	0.625454545454545
AC005562.1	4826	0.435142975549109
AC005592.1	2237	0.347787215020116
AC005594.3	2740	0.633576642335766
AC005682.5	1784	0.420403587443946
AC005682.6	1635	0.500305810397554
AC005682.7	498	0.469879518072289
AC005682.8	675	0.514074074074074
AC005740.4	419	0.556085918854415
AC005822.1	1034	0.514506769825919
AC005841.1	918	0.588235294117647
AC005884.1	471	0.496815286624204
AC006023.8	1480	0.396621621621622
AC006026.10	1476	0.547425474254743
AC006026.9	1803	0.374930671103716
AC006028.11	402	0.398009950248756
AC006033.22	426	0.692488262910798
AC006042.6	504	0.452380952380952
AC006042.7	532	0.471804511278196
AC006042.8	1470	0.366666666666667
AC006111.1	498	0.646586345381526
AC006159.4	579	0.326424870466321
AC006160.5	750	0.476
AC006277.2	436	0.424311926605505
